institution_name,id,url,institution_code_number,institution_type,beginning_of_activity,state,address,post_code,place,headquarters_name,headquarters_address,post_code,city,country,subscribed_capital,paid_up_capital,related_decisions,published_accounts
"BNP PARIBAS",8376,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8376",9030,"Free Provision of Services by EU Credit Institutions",1993-08-05,"Active",,,,,,,,"França",,,,
"GOCARDLESS LTD",9984,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9984",8935,"Free Provision of Services by EU Payment Institutions",2013-11-22,"Active",,,,,,,,"Reino Unido",,,,
"LAZARD FRÈRES BANQUE",9015,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9015",9487,"Free Provision of Services by EU Credit Institutions",2008-02-12,"Active",,,,,,,,"França",,,,
"Cortland Capital Market Services Limited",10150,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10150",9815,"Free Provision of Services by EU Payment Institutions",,"Active",,,,,,,,"Reino Unido",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DO ALGARVE, CRL",9869,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9869",7210,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1995-01-23,"Active","RUA DE SANTO ANTÓNIO,  Nº 123","8000-284 FARO","FARO",,,"8000-284 FARO",,,6137195.00,6137195.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+ALGARVE%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+ALGARVE%2c+CRL"
"DEMIR HALK BANK (NEDERLAND) N.V.",10003,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10003",9622,"Free Provision of Services by EU Credit Institutions",,"Active",,,,,,,,"Holanda",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE MOGADOURO E VIMIOSO, CRL",9688,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9688",2240,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1981-06-30,"Active","AVENIDA DO SABOR, 59 - 61","5200-204 MOGADOURO","MOGADOURO",,,"5200-204 MOGADOURO",,,5829700.00,5829700.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+MOGADOURO+E+VIMIOSO%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+MOGADOURO+E+VIMIOSO%2c+CRL"
"ITAÚ BBA INTERNATIONAL PLC - SUCURSAL EM PORTUGAL",9619,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9619",85,"Branches of Credit Institutions with Head Office in the EU",2013-02-01,"Active","RUA TIERNO GALVAN, TORRE 3, 11º","EC2A 2EW LONDON","LISBOA","ITAÚ BBA INTERNATIONAL PLC","20 PRIMROSE STREET","EC2A 2EW LONDON","LONDON","Reino Unido",,,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=ITA%c3%9a+BBA+INTERNATIONAL+PLC+-+SUCURSAL+EM+PORTUGAL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=ITA%c3%9a+BBA+INTERNATIONAL+PLC+-+SUCURSAL+EM+PORTUGAL"
"BANCO BNP PARIBAS PERSONAL FINANCE, SA",9554,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9554",848,"Banks",2003-05-31,"Active","R. TOMÁS DA FONSECA, CENTRO EMPRESARIAL TORRES DE LISBOA, TORRE G, 15º","1600-209 LISBOA","LISBOA",,,"1600-209 LISBOA",,,45661800.00,45661800.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BANCO+BNP+PARIBAS+PERSONAL+FINANCE%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BANCO+BNP+PARIBAS+PERSONAL+FINANCE%2c+SA"
"NET-M PRIVATBANK 1891 AG",9295,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9295",9592,"Free Provision of Services by EU Credit Institutions",2012-04-27,"Active",,,,,,,,"Alemanha",,,,
"SIBS PAGAMENTOS, SA",9229,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9229",,"Payment Institutions",,,,,,,,,,,,,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=SIBS+PAGAMENTOS%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=SIBS+PAGAMENTOS%2c+SA"
"DIREKTANLAGE.AT AG",9101,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9101",9548,"Free Provision of Services by EU Credit Institutions",2010-03-09,"Active",,,,,,,,"Áustria",,,,
"BANK FRICK & CO. AG",9941,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9941",9611,"Free Provision of Services by EU Credit Institutions",2013-07-01,"Active",,,,,,,,"Liechtenstein",,,,
"COMMERZBANK INTERNATIONAL (IRELAND)",8766,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8766",9257,"Free Provision of Services by EU Credit Institutions",2000-05-19,"Active",,,,,,,,"Irlanda",,,,
"SANTANDER ASSET MANAGEMENT - SOCIEDADE  GESTORA DE FUNDOS DE INVESTIMENTO MOBILIÁRIO, SA",9442,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9442",677,"Securities Investment Fund Management Companies",1990-12-31,"Active","RUA DA MESQUITA, N.º 6","1099-002 LISBOA","LISBOA",,,"1099-002 LISBOA",,,17116510.00,17116510.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=SANTANDER+ASSET+MANAGEMENT+-+SOCIEDADE++GESTORA+DE+FUNDOS+DE+INVESTIMENTO+MOBILI%c3%81RIO%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=SANTANDER+ASSET+MANAGEMENT+-+SOCIEDADE++GESTORA+DE+FUNDOS+DE+INVESTIMENTO+MOBILI%c3%81RIO%2c+SA"
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE SOUSEL, CRL",9839,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9839",6350,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1925-07-24,"Active","PRAÇA DA REPÚBLICA","7470-220 SOUSEL","SOUSEL",,,"7470-220 SOUSEL",,,5947125.00,5947125.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+SOUSEL%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+SOUSEL%2c+CRL"
"CAIXA ECONÓMICA MONTEPIO GERAL",9349,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9349",36,"Savings Banks (Caixas Económicas)",1844-03-24,"Active","RUA ÁUREA, 219/241/RUA DE SANTA JUSTA","1100-062 LISBOA","LISBOA",,,"1100-062 LISBOA",,,1500000000.00,1500000000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+ECON%c3%93MICA+MONTEPIO+GERAL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+ECON%c3%93MICA+MONTEPIO+GERAL"
"BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL, SA - ESCRITÓRIO DE REPRESENTAÇÃO",9092,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9092",8512,"Representatives Offices of Credit Institutions with Head Offices Abroad",2009-12-02,"Active",,"28006 MADRID",,"BANQUE MAROCAINE DU COMMERCE EXTERIEUR INTERNATIONAL, SA","CALLE SERRANO 59","28006 MADRID","MADRID","Espanha",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DO VALE DO TÁVORA E DOURO, CRL",9680,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9680",2160,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1979-06-29,"Active","RUA SÁ DE ALBERGARIA","5120-423 TABUAÇO","TABUAÇO",,,"5120-423 TABUAÇO",,,20506985.00,20506985.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+VALE+DO+T%c3%81VORA+E+DOURO%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DO+VALE+DO+T%c3%81VORA+E+DOURO%2c+CRL"
"ARION BANKI HF.",10053,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10053",9636,"Free Provision of Services by EU Credit Institutions",2014-07-23,"Active",,,,,,,,"Islândia",,,,
"DEXIA CRÉDIT LOCAL",8693,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8693",9191,"Free Provision of Services by EU Credit Institutions",1998-03-11,"Active",,,,,,,,"França",,,,
"TDF-SOCIEDADE GESTORA DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO, SA",9548,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9548",841,"Real Estate Investment Fund Management Companies",1993-04-30,"Active","LAGOAS PARK, EDIFÍCIO 2","2780-377 OEIRAS","PORTO SALVO",,,"2780-377 OEIRAS",,,500000.00,500000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=TDF-SOCIEDADE+GESTORA+DE+FUNDOS+DE+INVESTIMENTO+IMOBILI%c3%81RIO%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=TDF-SOCIEDADE+GESTORA+DE+FUNDOS+DE+INVESTIMENTO+IMOBILI%c3%81RIO%2c+SA"
"CAIXA - BANCO DE INVESTIMENTO, SA",8848,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8848",25,"Banks",1987-11-12,"Active","RUA BARATA SALGUEIRO, 33","1269-057 LISBOA","LISBOA",,,"1269-057 LISBOA",,,81250000.00,81250000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+-+BANCO+DE+INVESTIMENTO%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+-+BANCO+DE+INVESTIMENTO%2c+SA"
"SQUARE ASSET MANAGEMENT, SOCIEDADE GESTORA DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO, SA",9121,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9121",545,"Real Estate Investment Fund Management Companies",1990-10-02,"Active","RUA TIERNO GALVAN, TORRE 3 - 12º ANDAR, FRACÇÃO 'M'","1070-274 LISBOA","LISBOA",,,"1070-274 LISBOA",,,375000.00,375000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=SQUARE+ASSET+MANAGEMENT%2c+SOCIEDADE+GESTORA+DE+FUNDOS+DE+INVESTIMENTO+IMOBILI%c3%81RIO%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=SQUARE+ASSET+MANAGEMENT%2c+SOCIEDADE+GESTORA+DE+FUNDOS+DE+INVESTIMENTO+IMOBILI%c3%81RIO%2c+SA"
"CURRENCYFAIR LIMITED",9168,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9168",8783,"Free Provision of Services by EU Payment Institutions",2010-04-15,"Active",,,,,,,,"Irlanda",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE AROUCA, CRL",9621,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9621",1020,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1978-07-13,"Active","AVENIDA 25 DE ABRIL, n.º 18-B","4540-102 AROUCA","AROUCA",,,"4540-102 AROUCA",,,6725385.00,6725385.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+AROUCA%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+AROUCA%2c+CRL"
"UBS (FRANCE) SA",9133,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9133",9572,"Free Provision of Services by EU Credit Institutions",2011-05-19,"Active",,,,,,,,"França",,,,
"WORLDPAY LIMITED",9138,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9138",8752,"Free Provision of Services by EU Payment Institutions",2009-11-01,"Active",,,,,,,,"Reino Unido",,,,
"ANZ BANK (EUROPE) LIMITED",8921,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8921",9402,"Free Provision of Services by EU Credit Institutions",2005-11-04,"Active",,,,,,,,"Reino Unido",,,,
"CONTIS FINANCIAL SERVICES LIMITED",9922,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9922",7609,"Free Provision of Services by EU Electronic Money Institutions",2008-03-11,"Active",,,,,,,,"Reino Unido",,,,
"STATE STREET BANK GMBH",8941,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8941",9421,"Free Provision of Services by EU Credit Institutions",2006-04-24,"Active",,,,,,,,"Alemanha",,,,
"PORTOCÂMBIOS- AGÊNCIA DE CÂMBIOS, SA",9580,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9580",899,"Exchange Offices",1995-02-20,"Active","RUA  RODRIGUES SAMPAIO, 193","4000-425 PORTO","PORTO",,,"4000-425 PORTO",,,500000.00,500000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=PORTOC%c3%82MBIOS-+AG%c3%8aNCIA+DE+C%c3%82MBIOS%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=PORTOC%c3%82MBIOS-+AG%c3%8aNCIA+DE+C%c3%82MBIOS%2c+SA"
"UNITY, INSTITUIÇÃO DE PAGAMENTOS, LDA",9250,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9250",,"Payment Institutions",,,,,,,,,,,,,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=UNITY%2c+INSTITUI%c3%87%c3%83O+DE+PAGAMENTOS%2c+LDA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=UNITY%2c+INSTITUI%c3%87%c3%83O+DE+PAGAMENTOS%2c+LDA"
"CAIXA GERAL DE DEPÓSITOS, SA",9297,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9297",35,"Banks",1876-04-10,"Active","AVENIDA JOÃO XXI, 63","1000-300 LISBOA","LISBOA",,,"1000-300 LISBOA",,,5900000000.00,5900000000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+GERAL+DE+DEP%c3%93SITOS%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+GERAL+DE+DEP%c3%93SITOS%2c+SA"
"DEUTSCHE BANK AG",8570,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8570",9059,"Free Provision of Services by EU Credit Institutions",1994-12-29,"Active",,,,,,,,"Alemanha",,,,
"FUND BOX - SOCIEDADE GESTORA DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO, SA",9517,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9517",794,"Real Estate Investment Fund Management Companies",1992-08-11,"Active","AVENIDA ENGENHEIRO DUARTE PACHECO, TORRE 1, 15.º ANDAR , SALA 2","1070-101 LISBOA","LISBOA",,,"1070-101 LISBOA",,,600000.00,600000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=FUND+BOX+-+SOCIEDADE+GESTORA+DE+FUNDOS+DE+INVESTIMENTO+IMOBILI%c3%81RIO%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=FUND+BOX+-+SOCIEDADE+GESTORA+DE+FUNDOS+DE+INVESTIMENTO+IMOBILI%c3%81RIO%2c+SA"
"FIRST NATIONAL COMMERCIAL BANK PLC",8576,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8576",9066,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"ING BANK NV",8591,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8591",9081,"Free Provision of Services by EU Credit Institutions",1993-09-20,"Active",,,,,,,,"Holanda",,,,
"INTERPAY LTD T/A TRANSFERMATE",9218,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9218",8816,"Free Provision of Services by EU Payment Institutions",2011-05-04,"Active",,,,,,,,"Irlanda",,,,
"DELTA LLOYD BANK NV",8967,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8967",9444,"Free Provision of Services by EU Credit Institutions",2006-12-26,"Active",,,,,,,,"Bélgica",,,,
"KHYBER MONEY EXCHANGE LTD",10026,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10026",8957,"Free Provision of Services by EU Payment Institutions",2014-04-11,"Active",,,,,,,,"Reino Unido",,,,
"AQOBA EP",9153,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9153",8804,"Free Provision of Services by EU Payment Institutions",2011-03-11,"Active",,,,,,,,"França",,,,
"CURRENCIES DIRECT LIMITED",9281,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9281",,"Branches of Payment Institutions with Head Office in the EU",,,,,,,,,,,,,,
"COMDIRECT BANK AG",8750,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8750",9243,"Free Provision of Services by EU Credit Institutions",2000-01-13,"Active",,,,,,,,"Alemanha",,,,
"KA FINANZ AG",9119,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9119",9561,"Free Provision of Services by EU Credit Institutions",,"Active",,,,,,,,"Áustria",,,,
"SMITH & WILLIAMSON SECURITIES",8628,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8628",9119,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"MONEYGRAM INTERNATIONAL LIMITED",9137,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9137",8751,"Free Provision of Services by EU Payment Institutions",2009-11-01,"Active",,,,,,,,"Reino Unido",,,,
"COMMERCIAL BANK OF LONDON PLC",8559,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8559",9048,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"BANCO FINANTIA, SA",9428,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9428",48,"Banks",1993-01-01,"Active","RUA GENERAL FIRMINO MIGUEL, 5 - 1º","1600-100 LISBOA","LISBOA",,,"1600-100 LISBOA",,,150000000.00,150000000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BANCO+FINANTIA%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BANCO+FINANTIA%2c+SA"
"TD BANK EUROPE LIMITED",8844,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8844",9330,"Free Provision of Services by EU Credit Institutions",2003-02-20,"Active",,,,,,,,"Reino Unido",,,,
"BANIF - BANCO INTERNACIONAL DO FUNCHAL, SA",9371,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9371",38,"Banks",2002-04-01,"Active","RUA DE JOÃO TAVIRA, 30","9004-509 FUNCHAL","FUNCHAL",,,"9004-509 FUNCHAL",,,1720700000.00,1720700000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BANIF+-+BANCO+INTERNACIONAL+DO+FUNCHAL%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BANIF+-+BANCO+INTERNACIONAL+DO+FUNCHAL%2c+SA"
"W-HA SA",9080,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9080",9538,"Free Provision of Services by EU Credit Institutions",2009-08-05,"Active",,,,,,,,"França",,,,
"COUNTY NATWEST LIMITED",8561,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8561",9051,"Free Provision of Services by EU Credit Institutions",1993-09-10,"Active",,,,,,,,"Reino Unido",,,,
"BANCO MADESANT - SOCIEDADE UNIPESSOAL, SA",9515,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9515",60,"Banks",1998-08-17,"Active","AVENIDA ARRIAGA, 73 - 2º - SALA 211","9000-060 FUNCHAL","FUNCHAL",,,"9000-060 FUNCHAL",,,124750000.00,124750000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BANCO+MADESANT+-+SOCIEDADE+UNIPESSOAL%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BANCO+MADESANT+-+SOCIEDADE+UNIPESSOAL%2c+SA"
"SG HAMBROS BANK (GIBRALTAR) LIMITED",8863,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8863",9346,"Free Provision of Services by EU Credit Institutions",2003-08-12,"Active",,,,,,,,"Reino Unido",,,,
"NETGIRO SYSTEMS AB",9243,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9243",8842,"Free Provision of Services by EU Payment Institutions",2011-10-07,"Active",,,,,,,,"Suécia",,,,
"HYPOTHEKENBANK IN ESSEN AG",8868,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8868",9352,"Free Provision of Services by EU Credit Institutions",2003-12-10,"Active",,,,,,,,"Alemanha",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DOS AÇORES, CRL",9873,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9873",8050,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1922-04-27,"Active","RUA MANUEL INÁCIO CORREIA 15/LARGO DA MATRIZ, 35","9500-087 PONTA DELGADA","PONTA DELGADA",,,"9500-087 PONTA DELGADA",,,30938910.00,30938910.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DOS+A%c3%87ORES%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DOS+A%c3%87ORES%2c+CRL"
"MIZUHO INTERNATIONAL PLC",8589,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8589",9079,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"CURRENCY SOLUTIONS LIMITED",9170,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9170",8773,"Free Provision of Services by EU Payment Institutions",2010-01-28,"Active",,,,,,,,"Reino Unido",,,,
"BANCO EFISA, SA",9628,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9628",86,"Banks",1994-12-30,"Active","AV. ANTÓNIO AUGUSTO DE AGUIAR, Nº 134 - 4º","1050-020 LISBOA","LISBOA",,,"1050-020 LISBOA",,,78000000.00,78000000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BANCO+EFISA%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BANCO+EFISA%2c+SA"
"LEOPOLD JOSEPH & SONS LTD",8600,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8600",9089,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"CAIXA DE CRÉDITO AGRÍCOLA MÚTUO DE PERNES, CRL",9780,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9780",5230,"Central Mutual Agricultural Credit Bank and Mutual Agricultural Credit Banks",1911-06-11,"Active","RUA ENG. ANTÓNIO TORRES, 140/140-A","2000-495 PERNES","PERNES",,,"2000-495 PERNES",,,5810135.00,5810135.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+PERNES%2c+CRL","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=CAIXA+DE+CR%c3%89DITO+AGR%c3%8dCOLA+M%c3%9aTUO+DE+PERNES%2c+CRL"
