institution_name,id,url,institution_code_number,institution_type,beginning_of_activity,state,address,post_code,place,headquarters_name,headquarters_address,post_code,city,country,subscribed_capital,paid_up_capital,related_decisions,published_accounts
"NRW.BANK",8880,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8880",9362,"Free Provision of Services by EU Credit Institutions",2004-07-08,"Active",,,,,,,,"Alemanha",,,,
"BARCLAYS BANK PLC",8370,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8370",9034,"Free Provision of Services by EU Credit Institutions",1993-10-22,"Active",,,,,,,,"Reino Unido",,,,
"DIXIPAY LTD",10156,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=10156",9827,"Free Provision of Services by EU Payment Institutions",2015-09-24,"Active",,,,,,,,"Reino Unido",,,,
"ALTAVISA - GESTÃO DE PATRIMÓNIOS, SA",9902,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9902",247,"Wealth Management Companies",2005-09-28,"Active","RUA ROBERTO IVENS, N.º 1280 - 1.º ANDAR, SALA 6","4450-251 MATOSINHOS","MATOSINHOS",,,"4450-251 MATOSINHOS",,,500000.00,450000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=ALTAVISA+-+GEST%c3%83O+DE+PATRIM%c3%93NIOS%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=ALTAVISA+-+GEST%c3%83O+DE+PATRIM%c3%93NIOS%2c+SA"
"FIDUCIAIRE DE DISTRIBUTION INTERNATIONALE - FDI FRANCE",9296,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9296",8870,"Free Provision of Services by EU Payment Institutions",,"Active",,,,,,,,"França",,,,
"VALITOR HF",9284,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9284",9588,"Free Provision of Services by EU Credit Institutions",2012-03-09,"Active",,,,,,,,"Islândia",,,,
"UBS (LUXEMBOURG), SA",9113,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9113",9557,"Free Provision of Services by EU Credit Institutions",2010-10-14,"Active",,,,,,,,"Luxemburgo",,,,
"SOFID - SOCIEDADE PARA O FINANCIAMENTO DO DESENVOLVIMENTO, INSTITUIÇÃO FINANCEIRA DE CRÉDITO, SA",8455,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8455",314,"Credit Financial Institutions",2007-12-17,"Active","AVENIDA CASAL RIBEIRO, Nº. 14 - 4º. ANDAR","1000-092 LISBOA","LISBOA",,,"1000-092 LISBOA",,,10000000.00,10000000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=SOFID+-+SOCIEDADE+PARA+O+FINANCIAMENTO+DO+DESENVOLVIMENTO%2c+INSTITUI%c3%87%c3%83O+FINANCEIRA+DE+CR%c3%89DITO%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=SOFID+-+SOCIEDADE+PARA+O+FINANCIAMENTO+DO+DESENVOLVIMENTO%2c+INSTITUI%c3%87%c3%83O+FINANCEIRA+DE+CR%c3%89DITO%2c+SA"
"BANCO PORTUGUÊS DE GESTÃO, SA",9550,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=9550",64,"Banks",2000-12-26,"Active","RUA DO SALITRE, Nº 165/167","1250-198 LISBOA","LISBOA",,,"1250-198 LISBOA",,,35000000.00,35000000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=BANCO+PORTUGU%c3%8aS+DE+GEST%c3%83O%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=BANCO+PORTUGU%c3%8aS+DE+GEST%c3%83O%2c+SA"
"AGROGARANTE - SOCIEDADE DE GARANTIA MÚTUA, SA",8373,"https://www.bportugal.pt/en-US/Supervisao/Pages/CreditInstitution.aspx?IcID=8373",251,"Mutual Guarantee Companies",2007-01-02,"Active","RUA JOÃO MACHADO, Nº 86","3000-226 COIMBRA","COIMBRA",,,"3000-226 COIMBRA",,,12000000.00,12000000.00,"http://www.bportugal.pt/pt-PT/Supervisao/Decisoes/Paginas/Decisoes.aspx?sInpT1=AGROGARANTE+-+SOCIEDADE+DE+GARANTIA+M%c3%9aTUA%2c+SA","http://www.bportugal.pt/pt-PT/Supervisao/Paginas/Contasdasinstituicoes.aspx?sInpT1=AGROGARANTE+-+SOCIEDADE+DE+GARANTIA+M%c3%9aTUA%2c+SA"
